"filename", "language", "Markdown", "pip requirements", "Python", "CSV", "SQL", "comment", "blank", "total"
"d:\Code_Projects\MuggTwitchBot\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Code_Projects\MuggTwitchBot\app\bot.py", "Python", 0, 0, 55, 0, 0, 27, 23, 105
"d:\Code_Projects\MuggTwitchBot\app\cogs\admin.py", "Python", 0, 0, 112, 0, 0, 49, 70, 231
"d:\Code_Projects\MuggTwitchBot\app\cogs\follower.py", "Python", 0, 0, 16, 0, 0, 0, 6, 22
"d:\Code_Projects\MuggTwitchBot\app\cogs\mod.py", "Python", 0, 0, 16, 0, 0, 0, 6, 22
"d:\Code_Projects\MuggTwitchBot\app\cogs\sub.py", "Python", 0, 0, 16, 0, 0, 0, 6, 22
"d:\Code_Projects\MuggTwitchBot\app\cogs\user.py", "Python", 0, 0, 12, 0, 0, 0, 11, 23
"d:\Code_Projects\MuggTwitchBot\app\cogs\vip.py", "Python", 0, 0, 16, 0, 0, 0, 6, 22
"d:\Code_Projects\MuggTwitchBot\app\config\spotify_config_example.py", "Python", 0, 0, 6, 0, 0, 0, 0, 6
"d:\Code_Projects\MuggTwitchBot\app\config\twitch_config_example.py", "Python", 0, 0, 7, 0, 0, 0, 0, 7
"d:\Code_Projects\MuggTwitchBot\app\modules\obs.py", "Python", 0, 0, 15, 0, 0, 3, 8, 26
"d:\Code_Projects\MuggTwitchBot\app\modules\pubsub.py", "Python", 0, 0, 53, 0, 0, 84, 41, 178
"d:\Code_Projects\MuggTwitchBot\app\modules\spotify.py", "Python", 0, 0, 95, 0, 0, 9, 34, 138
"d:\Code_Projects\MuggTwitchBot\app\modules\tts.py", "Python", 0, 0, 20, 0, 0, 9, 13, 42
"d:\Code_Projects\MuggTwitchBot\data\data.sqlite", "SQL", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code_Projects\MuggTwitchBot\data\db.py", "Python", 0, 0, 18, 0, 0, 2, 16, 36
"d:\Code_Projects\MuggTwitchBot\data\lists\followerlist.csv", "CSV", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code_Projects\MuggTwitchBot\requirements.txt", "pip requirements", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Code_Projects\MuggTwitchBot\run.py", "Python", 0, 0, 4, 0, 0, 16, 7, 27
"Total", "-", 1, 26, 461, 0, 0, 199, 249, 936